Brand,Model,Min. capacity - mAh:,Dischatge Current:,Price:,Voltage:,Cost KwH
Samsung,INR18650-32E,"3,100.00",6.4,€2.45,3.6V,242.95833333333334
Samsung,INR18650-35E,"3,350.00",8.0,€2.95,3.6V,258.12500000000006
Samsung,INR18650-20R,"1,950.00",22.0,€1.75,3.6V,265.4166666666667
Samsung,INR18650-32E,"3,100.00",6.4,€3.85,3.6V,381.7916666666667
EVE,INR18650-35V,"3,400.00",10.2,€3.45,3.6V,301.87500000000006
BAK,N18650CP,"3,250.00",6.5,€2.99,3.6V,279.06666666666666
Sinowatt,SW18650-30SP,"2,900.00",15.0,€3.25,3.6V,341.25
Keeppower,P1832U,"3,150.00",8.0,€16.95,3.6V,1582.0
Samsung,INR18650-25S,"2,450.00",25.0,€4.40,3.6V,539.0000000000001
Samsung,INR18650-29E,"2,750.00",8.25,€4.39,3.6V,486.5583333333333
Keeppower,P1634C,650.00,1.4,€4.25,3.6V,19089.583333333336
Tenpower,ICR18650-20SG,"1,950.00",30.0,€1.99,3.6V,301.81666666666666
Keeppower,P1634C2,800.00,2.0,€5.75,3.6V,20963.541666666668
Vapcell,H10,900.00,10.0,€4.45,3.6V,14432.833333333336
Keeppower,RCR123A,750.00,1.6,€7.45,3.6V,28986.708333333332
Keeppower,P1450U1,"1,900.00",1.5,€18.95,1.5V,6822.0
Keeppower,P1450C3,"1,000.00",2.0,€5.95,3.6V,1735.4166666666667
Lithplus,L1450-0.75A01,700.00,1.5,€1.95,3.6V,8133.125
Keeppower,P1495U,900.00,2.0,€11.25,3.6V,36487.5
Keeppower,P1450C,700.00,1.6,€5.95,3.6V,24816.458333333336
Keeppower,P1450C2,950.00,1.0,€5.75,3.6V,17676.458333333336
Keeppower,P1450U1,"1,900.00",1.5,€9.95,1.5V,3582.0
Sony / Murata,US21700VTC6A,"4,000.00",40.0,€6.55,3.6V,496.7083333333334
Olight,ORB-163P06,600.00,0.0,€8.95,3.6V,43541.74999999999
Sony,BM18650Z1,"1,550.00",10.0,€1.99,3.6V,383.075
Samsung,INR21700-30T,"2,950.00",35.0,€2.99,3.6V,296.5083333333333
Samsung,INR21700-50G,"4,800.00",9.8,€3.75,3.6V,240.625
Keeppower,P2150TC,"4,850.00",8.0,€21.95,3.6V,1408.4583333333335
Keeppower,P2150K,"4,950.00",10.0,€13.45,3.6V,863.0416666666666
BAK,N21700CG-50,"4,900.00",10.2,€3.89,3.6V,249.60833333333338
Samsung,INR21700-33J,"3,220.00",6.4,€1.85,3.6V,172.66666666666669
Keeppower,P1680U,800.00,2.0,€11.45,3.6V,41744.791666666664
Samsung,INR21700-33J,"3,220.00",6.4,€1.85,3.6V,172.66666666666669
Samsung,INR21700-30T,"2,950.00",35.0,€4.15,3.6V,411.54166666666674
Samsung,INR21700-40T,"3,900.00",35.0,€4.95,3.6V,375.375
Molicel,INR21700-P45B,"4,350.00",45.0,€7.95,3.6V,556.5
Samsung,INR21700-30T,"2,950.00",35.0,€2.25,3.6V,223.125
Samsung,INR21700-33J,"3,220.00",6.4,€1.70,3.6V,158.66666666666669
Keeppower,P1829J,"2,850.00",8.0,€9.45,3.6V,992.2499999999999
Tenpower,INR18650-25PG,"2,450.00",20.0,€2.85,3.6V,349.125
Keeppower,P1826K,"2,550.00",5.2,€7.25,3.6V,845.8333333333334
Sanyo,NCR18650GA,"3,350.00",10.0,€5.95,3.6V,520.625
Molicel,INR-21700-P42A,"3,950.00",45.0,€7.49,3.6V,567.9916666666667
Samsung,INR18650-30Q,"2,950.00",15.0,€6.95,3.6V,689.2083333333334
Sony,US18650VTC4,"2,000.00",30.0,€4.75,3.6V,692.7083333333334
Sony,US18650VTC6,"3,000.00",30.0,€6.95,3.6V,689.2083333333334
Samsung,INR18650-25R,"2,450.00",20.0,€6.95,3.6V,851.375
Sanyo,NCR18650BF,"3,250.00",4.9,€3.85,3.6V,359.3333333333333
Panasonic,NCR18650B,"3,250.00",6.7,€5.45,3.6V,508.6666666666667
Sony,US18650VTC5,"2,500.00",30.0,€5.95,3.6V,694.1666666666667
Panasonic,NCR18650PF,"2,850.00",10.0,€3.25,3.6V,341.25
Samsung,INR18650-35E,"3,350.00",8.0,€3.95,3.6V,345.62500000000006
Sanyo,NCR18650GA,"3,300.00",10.0,€4.35,3.6V,405.99999999999994
Samsung,INR18650-15M,"1,450.00",20.0,€3.45,3.6V,704.3750000000001
Sony,US18650VTC4,"2,000.00",30.0,€2.99,3.6V,436.0416666666667
Sony,US18650VTC5,"2,500.00",30.0,€3.65,3.6V,425.83333333333337
Samsung,INR18650-30Q,"2,950.00",15.0,€3.79,3.6V,375.8416666666667
Sony,US18650VTC5A,"2,500.00",35.0,€8.95,3.6V,1044.1666666666665
Keeppower,P1834J,"3,350.00",8.0,€10.95,3.6V,958.1249999999999
EVE,INR18650-25P,"2,500.00",20.0,€2.29,3.6V,267.1666666666667
Sinowatt,SW18650-34MP,"3,250.00",3.25,€2.49,3.6V,232.4
Molicel,INR-18650-P28A,"2,800.00",35.0,€7.49,3.6V,786.45
Samsung,ICR18650-26J,"2,550.00",10.0,€2.79,3.6V,325.50000000000006
Sony,US18650VTC5A,"2,500.00",35.0,€4.25,3.6V,495.83333333333337
BAK,N18650CL-29,"2,800.00",8.25,€2.65,3.6V,278.25000000000006
BAK,N18650CNP,"2,400.00",20.0,€2.89,3.6V,354.025
EVE,INR18650-33V,"3,100.00",10.0,€2.75,3.6V,272.70833333333337
EVE,INR18650-29V,"2,850.00",8.4,€2.59,3.6V,271.95
Samsung,INR18650-30Q,"2,950.00",15.0,€2.99,3.6V,296.5083333333333
Molicel,INR-18650-P26A,"2,600.00",35.0,€5.95,3.6V,694.1666666666667
BAK,N18650CP,"3,250.00",6.5,€3.25,3.6V,303.33333333333337
Keeppower,P1830R,"2,950.00",15.0,€11.45,3.6V,1135.4583333333333
Sanyo,NCR18650GA,"3,350.00",10.0,€4.25,3.6V,371.875
Tenpower,ICR18650,"1,950.00",30.0,€1.95,3.6V,295.75000000000006
Sony / Murata,US18650VTC5C,"2,500.00",30.0,€3.55,3.6V,414.16666666666663
Tenpower,INR18650-28HE,"2,760.00",10.0,€2.75,3.6V,304.7916666666667
Keeppower,P1835J,"3,450.00",10.0,€11.45,3.6V,1001.8749999999999
Everactive,3200 series,"3,050.00",7.0,€8.95,3.6V,887.5416666666666
Olight,ORB-186S35,"3,450.00",10.0,€23.95,3.6V,2095.625
Sanyo,NCR18650GA,"3,350.00",10.0,€5.95,3.6V,520.625
Molicel,INR-18650-P26A,"2,500.00",35.0,€4.60,3.6V,536.6666666666666
Panasonic,NCR18650BD,"3,030.00",10.0,€3.55,3.6V,352.0416666666667
Olight,ORB-186L34,"3,350.00",2.0,€19.95,3.6V,1745.625
Olight,ORB-186P26,"2,550.00",4.2,€13.95,3.6V,1627.4999999999998
Molicel,INR-18650-P28A,"2,800.00",35.0,€4.99,3.6V,523.95
Samsung,ICR18650-22P,"2,050.00",10.0,€4.75,3.6V,692.7083333333334
Sony / Murata,US18650VTC6,"3,000.00",30.0,€5.45,3.6V,540.4583333333334
Olight,orb-186C32,"3,150.00",4.0,€22.75,3.6V,2123.3333333333335
Sanyo,UR18650ZM2,"2,420.00",8.0,€2.15,3.6V,263.375
Samsung,INR18650-32E,"3,100.00",6.4,€2.35,3.6V,233.04166666666666
Tenpower,INR18650-32HE,"3,050.00",10.0,€2.35,3.6V,233.04166666666666
Samsung,INR18650-30Q,"2,950.00",15.0,€2.85,3.6V,282.625
Molicel,INR-18650-M35A,"3,350.00",10.0,€3.45,3.6V,301.87500000000006
Tenpower,INR21700-50ME,"4,950.00",15.0,€3.99,3.6V,256.02500000000003
Samsung,INR18650-20R,"1,950.00",22.0,€1.75,3.6V,265.4166666666667
Sanyo,NCR20700,"3,150.00",30.0,€2.95,3.6V,275.33333333333337
Keeppower,P2770C,"5,500.00",10.0,€7.50,3.6V,437.5
Lishen,LR1865LA,"1,900.00",20.0,€1.65,3.6V,259.875
Keeppower,UH1835,700.00,8.0,€3.95,3.6V,16474.791666666668
Keeppower,P1835C,850.00,4.3,€4.95,3.6V,17007.375
Lishen,LR21700SA,"3,900.00",12.0,€2.35,3.6V,178.20833333333334
Vapcell,INR18350,"1,100.00",10.0,€4.45,3.6V,1194.0833333333335
Keeppower,P1835C2,"1,100.00",10.0,€6.75,3.6V,1811.25
Samsung,INR18650-29E,"2,750.00",8.25,€2.25,3.6V,249.375
Keeppower,P1443C,600.00,4.0,€4.25,3.6V,20676.25
Keeppower,P1665J,"2,450.00",4.0,€8.75,3.6V,1071.875
Keeppower,UH1835P,"1,100.00",10.0,€5.75,3.6V,1542.9166666666667
Enercig,TN18350HP,650.00,14.0,€3.45,3.6V,15496.25
